id,name,rank,sums,games,wins,losses
2252,0050,1607,319054783,198494,99122,99372
4450,deadlygame,1683,118407183,70345,37170,33175
99941,4558,1711,68124843,39806,21128,18678
250,jaca010,1594,49236634,30888,15970,14918
1068,mastachwasta,1594,37185739,23320,11373,11947
3705,la0ganja,1850,37821302,20435,11546,8889
189137,arthass,1407,28682413,20381,10124,10257
1429,skromny18,1982,37504212,18915,11829,7086
66831,zalpl20,1668,30182853,18086,9523,8563
135,krzychoilawa,1698,30703114,18074,13318,4756
605,qferkaczy,1469,26467637,18016,9234,8782
870,zawrat4,1530,27439179,17933,8756,9177
49076,idzpopiwo,1755,29482793,16794,9032,7762
199934,1qwertyy,1708,27306220,15982,7403,8579
744,bonie23,1488,21461781,14420,6541,7879
162984,mortek12,1307,17842628,13643,6784,6859
567,kruq,1922,24900117,12952,7383,5569
148489,redzgred,1735,22082309,12725,7237,5488
448207,adinio,1364,16668256,12220,6242,5978
3363,boca09air,1681,20320453,12083,6565,5518
8669,hazardinho,1851,20760966,11212,6430,4782
128226,treffl,1422,15932947,11198,7431,3767
564,konopa1029,1408,15146435,10755,4550,6205
1062,graszzbotem0,1358,14507688,10678,4800,5878
340,plum100,1527,16252693,10637,6931,3706
524,mariusz0621,1466,15317758,10447,6129,4318
108,rafi1997,1628,16709918,10261,5565,4696
7589,meydey1,1492,14877749,9970,4397,5573
215232,bratower5237,1735,17076042,9840,6249,3591
121233,metmez,1475,14302524,9696,4528,5168
920,leon888,1491,13990643,9382,5117,4265
412851,aspidiske,1547,14468086,9349,4987,4362
371,1rak1,1497,13953687,9316,5026,4290
9655,mmm333,1432,13336504,9309,6795,2514
67419,0l0szkowsky,1262,11531372,9132,4042,5090
969,ciechanoof,1923,17235035,8962,7141,1821
208,sekskobieta,1295,11413252,8807,3969,4838
365404,grajse,1492,13005646,8716,4011,4705
74190,maziulka77,1381,12025429,8702,3447,5255
19,chickenretro,1561,13502826,8648,5247,3401
96,gooodziu,1505,13021392,8647,5170,3477
191541,pablito0521,1348,11357061,8419,4389,4030
109708,dadada2222,1327,11147869,8395,4389,4006
1181,grzegorz0810,1813,14883860,8209,4795,3414
1476,marnab,1419,11412098,8039,4559,3480
19182,martin604,1381,11008107,7968,4190,3778
158,xax1,1350,10743161,7955,4043,3912
104681,algty1988,1512,11449765,7568,4692,2876
331546,forma,1625,12240550,7531,4820,2711
7009,donp3dr0,1520,11429218,7518,3850,3668
102629,w3nar,1401,10506358,7494,3540,3954
51494,emerson27,1422,10454700,7347,4597,2750
1045,krystekoaza,1295,9421610,7275,3071,4204
1616,2pac37,1423,10346473,7270,4431,2839
196,sky123,1813,12756640,7036,3672,3364
6638,router89,1416,9943072,7021,3826,3195
109,andr3i0s,1500,10497380,6995,4479,2516
141083,arkomag,1405,9788568,6962,4240,2722
1008,dan179,1445,9723531,6727,5148,1579
129028,moczym0rda123,1273,8409828,6603,2831,3772
126526,zupoloszka,1339,8750873,6535,3305,3230
52125,zigi50,1446,9438774,6526,3846,2680
753,konko07,1435,9252551,6444,3975,2469
500,chmu,1397,8902589,6370,2947,3423
179946,anakonda77,1277,8090382,6334,3167,3167
172845,widm0szeryf,1830,11325479,6188,3616,2572
23609,paauliix3,1331,8178771,6143,3215,2928
478260,bekbek,1552,9486908,6111,3237,2874
144457,szymi84,1367,8329407,6092,2256,3836
1402,0tages0,1744,10584156,6068,3091,2977
7731,nazstrike,1645,9950017,6048,3370,2678
48653,adamsz113,1466,8832720,6024,3138,2886
81955,tomek1082,1324,7908220,5972,2822,3150
121,lorakkkkk,1570,9300051,5921,3356,2565
456,antyamant,1475,8696646,5895,3530,2365
5245,daniell2003,1465,8616311,5879,3210,2669
8890,baterflaj,1391,8086958,5810,2859,2951
236760,pnt1808g,1256,7249055,5770,2911,2859
138315,oikos,1457,8402142,5766,3150,2616
162939,igmar25,1285,7385036,5747,3018,2729
38837,sajan101,1382,7942715,5745,3151,2594
218,orzel44,1635,9389585,5742,3146,2596
116240,henio21,1290,7362641,5704,2713,2991
30448,7mj7,1447,8100864,5595,2689,2906
1593,barcafanklub,1673,9279684,5544,2798,2746
3050,lepikos,1605,8848772,5513,3095,2418
807,kolega111,1336,7233095,5411,3641,1770
16859,zimolator,1375,7347071,5343,2747,2596
23130,bickicycki92,1691,8816598,5211,3131,2080
126756,kazakman,1437,7481475,5205,2294,2911
213,engineeeer,1562,8125237,5200,3011,2189
87900,jakubpiekary,1563,8130755,5200,1760,3440
210102,monika118,1388,7148539,5150,3184,1966
313765,pepexl,1315,6638173,5047,2687,2360
514698,gmb9115g,1341,6746254,5030,2869,2161
75436,wojak1g,1714,8610720,5023,2952,2071
1521,ateista25,1627,8130173,4994,2378,2616
203137,pfb9069g,1384,6859764,4955,1923,3032
582,robo0188,1615,7974713,4936,3913,1023
105883,krzych531,1357,6674117,4916,2455,2461
4175,sadzpallegal,1423,6914843,4857,1849,3008
14903,suchy095,1534,7449107,4853,2660,2193
253,dapper,1463,7041448,4810,3126,1684
240659,rubikon1,1389,6555326,4718,2537,2181
915,1red1,1511,7092264,4692,2192,2500
515727,fanbarcaklub,1604,7480712,4662,2125,2537
24,bjpenn1,1518,7038319,4634,2491,2143
112254,pawelek2008,1349,6254411,4634,2444,2190
10360,cyc222,1522,7041583,4624,2613,2011
385209,uzi1500,1638,7571531,4620,2164,2456
1540,koczis69,1635,7549803,4616,2852,1764
77640,jesteembogiem,1671,7658733,4583,2450,2133
197485,zat0x,1736,7892181,4544,2641,1903
404542,goldziu,1435,6510274,4536,1808,2728
3058,boh1,1371,6182956,4507,2214,2293
137912,puchatypampuh,1808,8141426,4503,2649,1854
86285,nordloft,1313,5899370,4493,2740,1753
1095,mozart1756,1359,6085055,4475,2045,2430
85,v0009,1504,6734569,4475,2232,2243
2469,deszczognia,1533,6773660,4416,1659,2757
359102,asg4rd,1607,7084981,4407,2475,1932
1710,szczepan129,1527,6728906,4405,2323,2082
421802,bronx,1606,7059033,4393,1898,2495
116772,pewniewygras,1624,7052359,4342,2974,1368
52170,bartekziel,1394,6051091,4340,2311,2029
243840,warsaw1916,1285,5529521,4302,2142,2160
247994,pfn5244g,1465,6280976,4286,2452,1834
186924,sigma80,1388,5943863,4281,2367,1914
510,mkb2089,1400,5971701,4264,2497,1767
476984,mgg3919g,1449,6134155,4232,2367,1865
1206,obrzy,1520,6421283,4223,2219,2004
162474,npb6631,1580,6657046,4213,2130,2083
94440,slodek,1884,7888491,4187,2531,1656
429558,mazek18,1390,5806072,4176,2607,1569
112661,remik74,1501,6246096,4161,3093,1068
1753,indroariel,1498,6232671,4160,2015,2145
14099,jotem59,1327,5520361,4157,2336,1821
591,radualexx,1306,5421170,4148,2308,1840
281140,dodeq,1440,5964774,4140,2397,1743
248378,mgs5334g,1351,5591136,4137,1918,2219
7054,marekls,1499,6187426,4127,2166,1961
21940,pawel,1464,6027566,4116,2035,2081
6522,12345b,1402,5770413,4114,2444,1670
5160,kiniu537,1424,5816371,4083,1672,2411
6017,slawekkijowski,1732,7061616,4076,2790,1286
111418,kristofer78,1270,5111728,4024,2205,1819
461,burrito,1494,5987419,4007,2599,1408
21103,mosiek2,1354,5422893,4003,2018,1985
110555,gitarzysta77,1349,5359930,3971,1978,1993
28861,rutkowski26,1246,4948114,3970,1864,2106
670,usa1981,1423,5643464,3964,2126,1838
9926,phallus,1453,5758751,3961,2120,1841
41203,eeeeeeeeeeeeeeee,1700,6705623,3944,2233,1711
89211,unkiu,1404,5516617,3928,2843,1085
333745,kryst1an,1787,7011534,3923,2383,1540
939,malaj21,1520,5958924,3920,2296,1624
361009,ielektryk,1273,4961164,3895,1893,2002
1124,lisapator,1445,5631110,3895,2241,1654
1591,adams142,1399,5445397,3891,2634,1257
25715,danielo84,1431,5488189,3835,2162,1673
21861,oczyklaszcza,1538,5899445,3835,1776,2059
19604,johnybomba,1357,5197872,3830,1751,2079
117683,neymaraa,1976,7558615,3825,2811,1014
151700,hanfromtaiwan,1279,4889264,3822,1595,2227
220710,karuzelok,1538,5873106,3817,1545,2272
442124,vlad1313,1255,4790313,3814,1685,2129
129723,amper0220,1277,4869933,3811,1803,2008
115680,stoicaams1974,1331,5061906,3802,2317,1485
147,januszpaw358,1446,5484979,3791,2150,1641
78310,grudos10,1321,5005205,3787,1965,1822
311275,erwd,1297,4906053,3781,1837,1944
13854,szoblers,1714,6477075,3778,2096,1682
3012,zklepy,1763,6576924,3729,2147,1582
280533,ttf7899,1395,5199626,3726,1685,2041
67138,szojeep,1312,4859810,3703,1716,1987
560448,gpexpres,1256,4650905,3702,1958,1744
231202,kochamdomisie,1802,6627799,3677,2194,1483
449302,rumble,1406,5161624,3669,2012,1657
35099,rastaroots,1857,6776003,3647,2196,1451
76859,bandit650,1579,5726937,3626,1840,1786
467192,pilkarz2323,1325,4803695,3624,1326,2298
762,kreon262,1554,5627365,3619,1575,2044
18935,doctorsah,1368,4934980,3607,2132,1475
15964,dzuda24,1299,4684312,3604,2023,1581
559782,ksg9819g,1451,5224966,3600,1792,1808
49229,positiv1,1324,4763933,3598,1962,1636
850,kaki22,1390,4978057,3581,1758,1823
724,meno1,1423,5067923,3561,2743,818
186589,sbt8456,1580,5605162,3546,2004,1542
88,dgezpdg,1822,6452368,3541,2055,1486
661,la2women,1474,5212355,3534,2206,1328
399906,wylooguj,1636,5761811,3520,2161,1359
35,porebianin71,1362,4791273,3517,1845,1672
328770,takilukasz,1981,6935179,3500,2634,866
110637,bimba82,1396,4875098,3490,2243,1247
3867,miro810,1368,4765042,3483,1904,1579
132052,szlus666,1832,6353653,3468,1997,1471
549063,dzikapani,1519,5254797,3459,1838,1621
402408,foxiuuu,1395,4800417,3441,1891,1550
26162,blue1982,1536,5281243,3438,2865,573
2703,greentown,1565,5381536,3437,1903,1534
32001,strife,1805,6190533,3428,1861,1567
5950,seba5x,1460,5001053,3425,2324,1101
4542,skorpion1020,1515,5188398,3424,2648,776
72383,rajcek18,1440,4907450,3407,1725,1682
913,lukasfj02,1432,4873452,3402,1581,1821
118230,summerdreams,1744,5920105,3393,1610,1783
303516,perun89,1396,4736990,3392,1759,1633
359987,f4rciarz,1483,5015973,3382,1894,1488
1686,fabienb,1542,5210257,3378,1841,1537
300837,pilkarz23,1287,4335035,3368,1216,2152
124,hiszpanek42,1293,4353287,3365,1382,1983
217152,helvick,1321,4444955,3363,1855,1508
192946,pdp8726g,1542,5170689,3352,2912,440
12616,ownatorek,1453,4858922,3343,2325,1018
15211,vvirus,1301,4336945,3332,1545,1787
5424,lastone,1599,5320171,3327,1815,1512
30347,polzzydzi,1425,4736769,3324,1508,1816
560077,drobas31,1272,4227035,3321,1692,1629
459496,cassiopeia7,1518,5028505,3312,1707,1605
2231,linksiq,1466,4856465,3312,1691,1621
80,viperstoro,1404,4648684,3310,1839,1471
201783,lleonidas007,1559,5147884,3302,1710,1592
84746,drukarka121,1516,4994564,3293,1712,1581
268288,fds7220g,1233,4050509,3285,1450,1835
41213,ljkaczynski,1564,5114759,3270,2057,1213
600754,zimnepiwko,1408,4605848,3269,1693,1576
